id	classId	choicePrereqId	name	lvlReq	spellId	featId	description
0	0	NULL	Rage	1	NULL	NULL	As a free action enter a rage for a number of rounds equal to 4 + Constitution modifier + 2 per barbarian level after first level. While raging gain +4 morale bonus to Strength and Constitution (granting 2 hit points per Hit Dice which disappear without being lost at the end of the rage), +2 morale bonus to Will saves, and a -2 penalty to AC. While raging cannot use Charisma, Dexterity, or Intelligence based skills except Acrobatics, Fly, Indimidate, and Ride. Rage can be ended as a free action. After a rage ends the barbarian is fatigued for a number of rounds equal to 2 times the number of rounds spent in a rage. Rage ends immediately upon going unconscious.
1	1	NULL	Bardic Performance	1	NULL	NULL	Use the perform skill to create magical effects on those around you, and yourself if desired. Can be used for a number of rounds per day equal to 4 + your Charisma modifier, and for each level after first you may perform for an additional 2 rounds per day. Starting a bardic performance is a standard action and maintaining a performance is a free action.
2	2	NULL	Channel Energy	1	NULL	NULL	Channel power through a holy (or unholy) symbol to release a wave of energy. Good clerics channel positive energy which heals all living creatures and damages all undead creatures within 30 feet. Evil clerics channel negative energy which heals undead creatures and damages living creatures. Neutral clerics must permanently choose at first level whether they will channel positive or negative energy. The magnitude of this effect is 1d6 points of damage plus 1d6 for every two cleric levels beyond the first. A Will save of 10 + 1/2 your cleric level + your Charisma modifier can be made to halve the damage dealt by channeled energy. May be used a number of times per day equal to 3 + your Charisma modifier., depending on good/evil alignment. Affects all creatures within a 30 foot radius; the magnitude of the effect is Nd6, where N is (cleric level + 1)/2, rounded down.
3	5	NULL	Flurry of Blows	1	NULL	NULL	Make a flurry of blows as a full attack action: the monk may make one additional attack with a -2 penalty on all attack roles, or two additional attacks at 8th level or above, or three additional attacks at 15th level and above.
4	5	NULL	Unarmed Strike	1	NULL	98	Monk gains Improved Unarmed Strike feat. Attacks may be with fist, elbows, knees, and feet.
5	5	NULL	Stunning Fist	1	NULL	157	Monk gains the Stunning Fist feat. Monk may replace the stun effect with the following effects at the following levels: fatigued at 4th level, sickened at 8th level, staggered at 12th level, permanently blind at 16th level, paralyzed at 20th level.
6	5	NULL	Ki Strike	4	NULL	NULL	Monk can spend one ki point to make a ki strike: at 4th level unarmed attacks are treated as magic weapons, at 7th level unarmed attacks are also treated as cold iron and silver, at 10th level unarmed attacks are also treated as lawful weaons, at 16th level unarmed attacks are also treated as adamantine weapons.
7	5	NULL	Wholeness of Body	7	NULL	NULL	Monk can spend two ki points to heal themselves a number of hitpoints equal to half their monk level as a standard action.
8	5	NULL	Abundant Step	12	NULL	NULL	Monk can spend two ki points to slip magically between spaces as if using the spell Dimension Door.
9	5	NULL	Quivering Palm	15	NULL	NULL	Once per day the monk can cause fatal vibrations in another creature. The monk must announce their intent before the attack, and if the attack deals damage then the attempt is successful, after which the monk can choose to kill the creature at any time using a free action. Can not affect creatures immune to critical hits.
10	5	NULL	Empty Body	19	NULL	NULL	The monk can spend three ki points to assume an ethereal state for 1 minute as if using the spell Etherealness.
11	6	NULL	Detect Evil	1	NULL	NULL	At will the paladin can use Detect Evil as the spell.
12	6	NULL	Smite Evil	1	NULL	NULL	As a swift action, once per day (and an additonal time per day per three levels after first level) the paladin may smite an enemy. If that enemy is evil, the paladin ads their Charisma bonus to attack rolls and adds their paladin level to all damage rolls made against the target. If the target is an outsider, dragon, or undead the damage bonus increases to 2 points per paladin level for the first successful attack. The paladin gains a deflection bonus equal to their Charisma modifier against attacks made by the target of the smite.
13	6	NULL	Lay on Hands	2	NULL	NULL	The paladin can heal wounds by touch. As a standard action on others or a swift action on self heal 1d6 per 2 paladin levels, or deal that much damage as a melee touch attack to an undead target. May be used a number of times per day equal to 1/2 of the caster's paladin level plus their Charisma modifier.
14	6	NULL	Channel Positive Energy	4	NULL	NULL	At the cost of two uses of Lay on Hands the paladin may channel positive energy like a cleric. This is a Charisma based ability.
15	6	NULL	Aura of Justice	11	NULL	NULL	At the cost of two uses of Smite Evil the paladin may grant the ability to Smite Evil to all allies within 10 feet. Allies must use this smite before the start of the paladin's next turn and the bonuses last for 1 minute. Evil allies gain no benefit from this ability.
16	7	NULL	Endurance	3	NULL	46	Gain Endurance as a bonus feat
17	7	NULL	Quarry	9	NULL	NULL	As a standard action you may denote one target in line of sight as your quarry. You may take 10 on Survival checks when following your quarry at normal speed, and you receive a +2 insight bonus on attack rolls against your quarry, and all critical threats are automatically confirmed. You may have only one quarry at a time and your quarry must correspond to one of your favored enemy types. You may dismiss this effect as a free action, but may not designate a new quarry within 24 hours. If you see proof that your quarry is dead you may select a new quarry after 1 hour.
18	7	NULL	Improved Quarry	19	NULL	NULL	You may now select a quarry as a free action and can take a 20 while using Survival to track your quarry. Your insight bonus increases to +4. If your quarry is killed or dismissed, you may select a new quarry after 10 minutes.
19	8	NULL	Sneak Attack	1	NULL	NULL	Any time your target would be denied a Dexterity bonus to AC you may strike a vital spot for extra damage. Extra damage is 1d6 at first level and an additional 1d6 ever two rogue levels after first, extra damage is not affected by critical multipliers. You may choose to deal lethal or non-lethal damaage when using a weapon which deals non-lethal damage, but weapons which deal lethal damage always deal lethal bonus damage.
20	9	NULL	Eschew Materials	1	NULL	48	Gain the Eschew Materials feat as a bonus feat at 1st level.
21	9	193	Class Skill: Knowledge (Dungeoneering)	1	NULL	NULL	Gain Knowledge (Dungeoneering) as a class skill
22	9	193	Enlarge Person spell	3	182	NULL	Your bloodline has granted the Enlarge Person spell
23	9	193	See Invisiblity spell	5	900	NULL	Your bloodline has granted the See Invisibility spell
24	9	193	Tongues spell	7	1537	NULL	Your bloodline has granted the Tongues spell
25	9	193	Black Tentacles spell	9	1632	NULL	Your bloodline has granted the Black Tentacles spell
26	9	193	Feeblemind spell	11	2136	NULL	Your bloodline has granted the Feeblemind spell
27	9	193	Veil spell	13	2613	NULL	Your bloodline has granted the Veil spell
28	9	193	Plane Shift spell	15	2736	NULL	Your bloodline has granted the Plane Shift spell
29	9	193	Mind Blank spell	17	4843	NULL	Your bloodline has granted the Mind Blank spell
30	9	193	Shapechange spell	19	4966	NULL	Your bloodline has granted the Shapechange spell
31	9	193	Acidic Ray (sp)	1	NULL	NULL	Fire an acidic ray as a standard action targeting an enemy within 30 feet as a ranged touch attack. Deals 1d6 points of acid damage +1 for every two Sorcerer levels. May be used a number of times per day equal to 3+ your Charisma modifier.
32	9	193	Long Limbs (ex)	3	NULL	NULL	Your reach increases by 5 feet when making a melee touch attack. At 11th level increases to 10 feet and at 17th level increases to 15 feet.
33	9	193	Unusual Anatomy (ex)	9	NULL	NULL	Your anatomy has changed, giving you a 25% chance to ignore any critical hit or sneak attack scored against you, treating it as a normal hit instead. Increases to 50% at 13th level
34	9	193	Alien Resistance (su)	15	NULL	NULL	You gain spell resistance equal to your Sorcerer level +10
35	9	193	Aberrant Form (ex)	20	NULL	NULL	Your body has become truly unnatural. You are immune to critical hits and sneak attacks, and you gaint a blindsight with a range of 60 feet and damage reduction 5/-
36	9	194	Class Skill: Knowledge (Planes)	1	NULL	NULL	Gain Knowledge (Planes) as a class skill
37	9	194	Cause Fear spell	3	111	NULL	Your bloodline has granted the Cause Fear spell
38	9	194	Bull's Strength spell	5	542	NULL	Your bloodline has granted the Bull's Strength spell
39	9	194	Rage spell	7	1406	NULL	Your bloodline has granted the Rage spell
40	9	194	Stoneskin spell	9	1959	NULL	Your bloodline has granted the Stoneskin spell
41	9	194	Dismissal spell	11	2100	NULL	Your bloodline has granted the Dismissal spell
42	9	194	Transformation spell	13	2590	NULL	Your bloodline has granted thespell
43	9	194	Greater Teleport spell	15	2688	NULL	Your bloodline has granted the Greater Teleport spell
